NOSE_X;NOSE_Y;LEFT_EYE_INNER_X;LEFT_EYE_INNER_Y;LEFT_EYE_X;LEFT_EYE_Y;LEFT_EYE_OUTER_X;LEFT_EYE_OUTER_Y;RIGHT_EYE_INNER_X;RIGHT_EYE_INNER_Y;RIGHT_EYE_X;RIGHT_EYE_Y;RIGHT_EYE_OUTER_X;RIGHT_EYE_OUTER_Y;LEFT_EAR_X;LEFT_EAR_Y;RIGHT_EAR_X;RIGHT_EAR_Y;MOUTH_LEFT_X;MOUTH_LEFT_Y;MOUTH_RIGHT_X;MOUTH_RIGHT_Y;LEFT_SHOULDER_X;LEFT_SHOULDER_Y;RIGHT_SHOULDER_X;RIGHT_SHOULDER_Y;LEFT_ELBOW_X;LEFT_ELBOW_Y;RIGHT_ELBOW_X;RIGHT_ELBOW_Y;LEFT_WRIST_X;LEFT_WRIST_Y;RIGHT_WRIST_X;RIGHT_WRIST_Y;LEFT_PINKY_X;LEFT_PINKY_Y;RIGHT_PINKY_X;RIGHT_PINKY_Y;LEFT_INDEX_X;LEFT_INDEX_Y;RIGHT_INDEX_X;RIGHT_INDEX_Y;LEFT_THUMB_X;LEFT_THUMB_Y;RIGHT_THUMB_X;RIGHT_THUMB_Y;LEFT_HIP_X;LEFT_HIP_Y;RIGHT_HIP_X;RIGHT_HIP_Y;geste
-0.029005637;-0.2792995;-0.02127718;-0.34358403;-0.0101024695;-0.34395778;0.0016344156;-0.34334803;-0.049529575;-0.3379663;-0.06144209;-0.3353254;-0.074675806;-0.3318098;0.02621048;-0.30090687;-0.08597417;-0.29354247;-0.0022533871;-0.2151039;-0.03889843;-0.21416235;0.16791166;-0.018486569;-0.16791166;0.018486707;0.32248414;-0.44761834;-0.24302833;-0.39421004;0.28978452;-0.9189022;-0.283641;-0.9104842;0.24641572;-1.0755105;-0.37405646;-1.0178992;0.2464127;-1.0683403;-0.2803053;-1.0499259;0.24336526;-1.0166371;-0.2686022;-1.0021039;0.4932107;0.5371951;0.45139807;0.53594816;avancer
-0.005257522;-0.27308732;-0.0049000536;-0.3354663;-0.0008975414;-0.33660975;0.004547009;-0.3373294;-0.01932292;-0.3275836;-0.026284292;-0.32344487;-0.034035247;-0.3186192;0.014154697;-0.29827237;-0.02347818;-0.2827564;0.009879314;-0.21200833;-0.01041524;-0.20736635;-0.11715674;-0.009334541;0.11715674;0.009334403;-0.34700185;-0.4079122;0.27452052;-0.43827856;-0.24274963;-0.9619592;0.17866091;-0.90944886;-0.28521097;-1.0784321;0.3252495;-1.0246464;-0.29171076;-1.0572643;0.17843561;-1.0231936;-0.24110702;-1.014091;0.15574783;-0.9940608;0.46219116;0.5349772;0.4747165;0.5309622;avancer
-0.0013293927;-0.23988177;-0.0046978556;-0.30129278;-0.0047436287;-0.30285668;-0.005009296;-0.30422184;-0.01071376;-0.2933728;-0.013386792;-0.2892392;-0.015307802;-0.28448805;-0.012003579;-0.2685228;0.066818275;-0.22789481;0.006843378;-0.18248479;-0.004346974;-0.17568192;-0.18285401;0.00068962737;0.18285388;-0.00068962737;-0.3450841;-0.37447116;0.34002984;-0.34493077;-0.33235714;-0.852807;0.27941096;-0.85460097;-0.37795776;-0.9766977;0.36417285;-0.94850516;-0.3323471;-0.983945;0.28610778;-0.9551492;-0.30885097;-0.94611084;0.24719448;-0.9260643;0.45394817;0.5329556;0.4890685;0.52926975;avancer
0.00014576054;-0.27432665;-0.029532112;-0.32302684;-0.047834054;-0.31924018;-0.068861514;-0.31105646;-0.0012863887;-0.31919545;0.0034545613;-0.31362465;0.0145306485;-0.30737856;-0.10538181;-0.25227416;0.049159974;-0.2708618;-0.024027236;-0.21477796;0.006132345;-0.21152827;-0.22064021;0.0063752793;0.22064021;-0.0063752793;-0.3836869;-0.28164062;0.41332364;-0.33209795;-0.38259473;-0.7038035;0.3349324;-0.75965834;-0.42593518;-0.8191342;0.36019948;-0.8912593;-0.3714965;-0.84214646;0.30088046;-0.8928229;-0.35248837;-0.80638105;0.2886493;-0.8422437;0.4422807;0.5461609;0.5011988;0.5428108;avancer
-0.027624473;-0.29407293;-0.03434638;-0.34139344;-0.0377837;-0.34112278;-0.04166142;-0.34052408;-0.023710284;-0.3359362;-0.019155951;-0.33240044;-0.012213461;-0.32825977;-0.055784136;-0.29085663;0.0432797;-0.27448732;-0.025718775;-0.22250275;-0.017049493;-0.21241048;-0.2238002;0.0067856936;0.2238002;-0.0067858207;-0.4567722;-0.22748554;0.46636117;-0.24834669;-0.45820168;-0.685137;0.41601765;-0.72111875;-0.5135416;-0.8094203;0.44597512;-0.853226;-0.4538331;-0.83309466;0.39805037;-0.8576994;-0.42899108;-0.80047286;0.37795883;-0.8047451;0.4661947;0.5298391;0.50312483;0.5281243;avancer
0.06754904;-0.2761347;0.0609065;-0.33651194;0.055794727;-0.33574694;0.050329886;-0.33498555;0.06828371;-0.3307647;0.07086993;-0.32703143;0.07468213;-0.3234696;0.03812336;-0.29129183;0.08219359;-0.26058838;0.070789635;-0.21500869;0.075329915;-0.20809622;-0.14992827;-0.0044883895;0.14992827;0.0044882605;0.0030402387;-0.40310222;0.2004514;-0.33915108;-0.0817805;-0.8586535;0.15777989;-0.8163515;-0.13618116;-0.96259886;0.16688292;-0.9242104;-0.33211592;-0.91172904;0.1408983;-0.94694835;-0.08844576;-0.9250497;0.12882346;-0.90572727;0.4638041;0.52622515;0.49244866;0.52338886;avancer
-0.025656398;-0.3099761;-0.012523634;-0.37080705;0.0015946645;-0.37106735;0.016957173;-0.37102637;-0.053143192;-0.36222827;-0.07026658;-0.3559086;-0.087914556;-0.34892684;0.046367373;-0.3345675;-0.11074533;-0.3066562;0.009752776;-0.24197929;-0.04158925;-0.23145677;0.23736764;-0.031988896;-0.23736764;0.031988896;0.5064565;-0.28155416;-0.4629455;-0.13140099;0.41317928;-0.7226408;-0.47393292;-0.5432631;0.41500476;-0.8616172;-0.49372146;-0.64700884;0.38464633;-0.8819984;-0.4690573;-0.6516252;0.37343505;-0.805253;-0.45726666;-0.6074699;0.49996358;0.5518011;0.43082088;0.54795;avancer
-0.011961944;-0.29599988;0.011698543;-0.36512607;0.030969853;-0.36457545;0.05226619;-0.36327296;-0.04197641;-0.35894874;-0.05962797;-0.35378337;-0.077250965;-0.34874842;0.08919836;-0.32599777;-0.099596865;-0.31165525;0.029680464;-0.22426811;-0.040147956;-0.21911298;0.24119386;-0.0046919202;-0.24119373;0.0046917857;0.4979765;-0.3130228;-0.43090957;-0.17696774;0.42150432;-0.78294575;-0.4184106;-0.6669739;0.42338842;-0.9229926;-0.4249431;-0.7963293;0.38996023;-0.9343377;-0.41446292;-0.77537465;0.37885693;-0.87164176;-0.43354964;-0.6562876;0.47881684;0.5354445;0.40928587;0.5342159;avancer
-0.0016418463;-0.29938027;0.025189582;-0.34955493;0.044602424;-0.34904176;0.06401657;-0.34814394;-0.026901271;-0.34912893;-0.046624355;-0.3481004;-0.06692855;-0.34632662;0.093592696;-0.3246758;-0.10606251;-0.32315236;0.033509333;-0.22434005;-0.027439484;-0.22727191;0.21755241;-0.0068597076;-0.21755241;0.0068597076;0.51255894;-0.24553469;-0.57656884;-0.17471936;0.36765194;-0.6804525;-0.4968711;-0.6402334;0.32650545;-0.8039092;-0.48458531;-0.7508452;0.2958334;-0.8267742;-0.44785115;-0.76276743;0.30563742;-0.77480215;-0.44572484;-0.7093959;0.480071;0.532967;0.4162573;0.53372926;avancer
0.0015928504;-0.29152894;0.029406901;-0.34386167;0.047988158;-0.34369248;0.0679827;-0.34318572;-0.024050152;-0.34349734;-0.044242643;-0.34276068;-0.06514843;-0.34122938;0.095670916;-0.32160798;-0.10811797;-0.31973568;0.037261877;-0.21751843;-0.025231848;-0.21823356;0.2183513;-0.006743567;-0.21835144;0.0067434367;0.5006628;-0.24372125;-0.5818561;-0.17178114;0.35577562;-0.6707317;-0.5037739;-0.6482959;0.30744714;-0.79949903;-0.49532628;-0.7666022;0.27781686;-0.8196475;-0.4597458;-0.77704036;0.28553662;-0.7680089;-0.4544432;-0.7234523;0.47945482;0.532648;0.41571274;0.5340115;avancer
